cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,tran_id,file_num,memo_cd,memo_text,sub_id
C00694323,N,Q2,P2020,202207159519943913,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04212022,-25,C00783464,H2MO04140,A235BDFD36506491B93A,1615035,,,4072520221548020599
C00694323,N,Q2,P2020,202207159519950114,24K,CCM,GREITENS FOR US SENATE,CHESTERFIELD,MO,63006,,,04122022,-3,C00774059,S2MO00536,A41F630E10A234EE3993,1615035,,,4072520221548040202
C00694323,N,Q2,P2020,202207159519947294,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,05052022,-100,C00495846,H2MO02102,A33FCDCDEE8FC48589FD,1615035,,,4072520221548031742
C00694323,N,Q2,P2020,202207159519948786,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,05062022,-25,C00495846,H2MO02102,A3B429B65F7C4404CA7B,1615035,,,4072520221548036218
C00694323,N,Q2,P2020,202207159519950550,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04162022,-35,C00783464,H2MO04140,A4428731B8C1A4CD28DD,1615035,,,4072520221548041509
C00694323,N,Q2,P2020,202207159519950349,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04212022,-25,C00783464,H2MO04140,A4325EDB35D6E4BAE950,1615035,,,4072520221548040905
C00694323,N,Q2,P2020,202207159519944800,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-4,C00495846,H2MO02102,A27ACC3073213462EAAD,1615035,,,4072520221548023259
C00694323,N,Q2,P2020,202207159519946207,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-5,C00495846,H2MO02102,A2EABBB9F63A0414CAE8,1615035,,,4072520221548027481
C00694323,N,Q2,P2020,202207159519941104,24K,CCM,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,637021324,,,06292022,0,C00541862,H4MO08162,A15849E2D87C94B7CA02,1615035,,,4072520221548012170
C00694323,N,Q2,P2020,202207159519950122,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04192022,-10,C00495846,H2MO02102,A4202628A6FBC4364BD4,1615035,,,4072520221548040226
C00694323,N,Q2,P2020,202207159519950477,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05142022,-20,C00783464,H2MO04140,A43CB801EBAB44532880,1615035,,,4072520221548041290
C00694323,N,Q2,P2020,202207159519949199,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05052022,-25,C00783464,H2MO04140,A3D60C55617B24C62A58,1615035,,,4072520221548037455
C00694323,N,Q2,P2020,202207159519949224,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-5,C00495846,H2MO02102,A3D8AC63731B745FB9CB,1615035,,,4072520221548037531
C00694323,N,Q2,P2020,202207159519949225,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,05152022,-25,C00783464,H2MO04140,A3D8C3747B5B74C2992C,1615035,,,4072520221548037534
C00694323,N,Q2,P2020,202207159519944035,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-8,C00495846,H2MO02102,A23EC0F28C3954994803,1615035,,,4072520221548020965
C00694323,N,Q2,P2020,202207159519942602,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,06012022,-5,C00495846,H2MO02102,A1CE66FCB218344B094F,1615035,,,4072520221548016665
C00694323,N,Q2,P2020,202207159519950392,24K,CCM,JOSH HAWLEY FOR SENATE,ST. LOUIS,MO,63131,,,05222022,-25,C00652727,S8MO00160,A435A158821074FB1B9C,1615035,,,4072520221548041036
C00694323,N,Q2,P2020,202207159519944288,24K,CCM,BLAINE FOR CONGRESS,ST. ELIZABETH,MO,65075,,,04212022,-50,C00458679,H8MO09153,A2539582D5A0A4393A78,1615035,,,4072520221548021724
C00694323,N,Q2,P2020,202207159519942858,24K,CCM,TAYLOR BURKS FOR CONGRESS,ASHLAND,MO,65010,,,04242022,-25,C00783464,H2MO04140,A1E0F7585792340FF9BE,1615035,,,4072520221548017433
C00694323,N,Q2,P2020,202207159519946498,24K,CCM,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,,,04022022,0,C00495846,H2MO02102,A3030307F9EAA48DF99B,1615035,,,4072520221548028352
